index,subsystem,toc_title,page_title,url,chars,text_file,html_file,error
28,Mobius Claims,Accessing Your Profile,Accessing Your Profile,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Accessing_Your_Profile.htm,832,mobius_output\pages\0028_Accessing_Your_Profile.txt,mobius_output\html\0028_Accessing_Your_Profile.html,
29,Mobius Claims,Add Diary Entry Page,Add Diary Entry Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Add_Diary_Entry_Page.htm,1285,mobius_output\pages\0029_Add_Diary_Entry_Page.txt,mobius_output\html\0029_Add_Diary_Entry_Page.html,
30,Mobius Claims,Admin Panel,Admin Panel,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Admin_Panel.htm,4954,mobius_output\pages\0030_Admin_Panel.txt,mobius_output\html\0030_Admin_Panel.html,
31,Mobius Claims,3: The Administration Page,3: The Administration Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Administration_Page.htm,1317,mobius_output\pages\0031_3_The_Administration_Page.txt,mobius_output\html\0031_3_The_Administration_Page.html,
32,Mobius Claims,The Agent Maintenance Page,The Agent Maintenance Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Agent_Configuration_Page.htm,6453,mobius_output\pages\0032_The_Agent_Maintenance_Page.txt,mobius_output\html\0032_The_Agent_Maintenance_Page.html,
33,Mobius Claims,The Authority Payment Groups Page,The Authority Payment Groups Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Authority_Payment_Groups_Page.htm,5517,mobius_output\pages\0033_The_Authority_Payment_Groups_Page.txt,mobius_output\html\0033_The_Authority_Payment_Groups_Page.html,
34,Mobius Claims,The Authority Reserve Groups Page,The Authority Reserve Groups Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Authority_Reserve_Groups_Page.htm,5825,mobius_output\pages\0034_The_Authority_Reserve_Groups_Page.txt,mobius_output\html\0034_The_Authority_Reserve_Groups_Page.html,
35,Mobius Claims,The Classes of Business Page,The Classes of Business Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Available_Data_Captures_Page.htm,2473,mobius_output\pages\0035_The_Classes_of_Business_Page.txt,mobius_output\html\0035_The_Classes_of_Business_Page.html,
36,Mobius Claims,Changing Your Password,Changing Your Password,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Changing_Your_Password.htm,1868,mobius_output\pages\0036_Changing_Your_Password.txt,mobius_output\html\0036_Changing_Your_Password.html,
37,Mobius Claims,The Claims Details Page,The Claims Details Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Claims_Details_page.htm,4592,mobius_output\pages\0037_The_Claims_Details_Page.txt,mobius_output\html\0037_The_Claims_Details_Page.html,
38,Mobius Claims,The Close / Reopen Tab,The Close / Reopen Tab,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Close_Tab.htm,1557,mobius_output\pages\0038_The_Close_Reopen_Tab.txt,mobius_output\html\0038_The_Close_Reopen_Tab.html,
39,Mobius Claims,4: The Configuration Page,4: The Configuration Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Configuration_Page.htm,1500,mobius_output\pages\0039_4_The_Configuration_Page.txt,mobius_output\html\0039_4_The_Configuration_Page.html,
